,Date,Price
175,1929-07-01,341.45
176,1929-08-01,359.15
177,1929-09-01,362.35
178,1929-10-01,291.5
179,1929-11-01,228.2
180,1929-12-01,247.2
181,1930-01-01,255.65
182,1930-02-01,267.4
183,1930-03-01,278.25
184,1930-04-01,285.5
185,1930-05-01,266.7
186,1930-06-01,243.15
187,1930-07-01,229.8
188,1930-08-01,228.8
189,1930-09-01,225.0
190,1930-10-01,198.75
191,1930-11-01,180.95
192,1930-12-01,172.15
193,1931-01-01,167.25
194,1931-02-01,181.55
195,1931-03-01,180.05
196,1931-04-01,158.0
197,1931-05-01,141.45
198,1931-06-01,139.3
199,1931-07-01,145.35
200,1931-08-01,139.8
201,1931-09-01,118.35
202,1931-10-01,98.1
203,1931-11-01,103.4
204,1931-12-01,82.8
205,1932-01-01,78.55
206,1932-02-01,78.9
207,1932-03-01,81.05
208,1932-04-01,64.05
209,1932-05-01,51.85
210,1932-06-01,46.85
211,1932-07-01,47.75
212,1932-08-01,64.4
213,1932-09-01,71.0
214,1932-10-01,65.3
215,1932-11-01,62.2
216,1932-12-01,58.85
217,1933-01-01,61.85
218,1933-02-01,55.15
219,1933-03-01,57.75
220,1933-04-01,66.7
221,1933-05-01,83.3
222,1933-06-01,93.8
223,1933-07-01,98.55
224,1933-08-01,98.85
225,1933-09-01,99.45
226,1933-10-01,91.65
227,1933-11-01,95.45
228,1933-12-01,99.05
229,1934-01-01,102.85
230,1934-02-01,106.9
231,1934-03-01,102.3
232,1934-04-01,103.55
233,1934-05-01,96.2
234,1934-06-01,95.9
235,1934-07-01,92.25
236,1934-08-01,91.6
237,1934-09-01,90.2
238,1934-10-01,93.0
239,1934-11-01,98.3
240,1934-12-01,101.8
241,1935-01-01,103.2
242,1935-02-01,103.7
243,1935-03-01,100.0
244,1935-04-01,105.45
245,1935-05-01,112.75
246,1935-06-01,115.25
247,1935-07-01,122.65
248,1935-08-01,126.95
249,1935-09-01,130.7
250,1935-10-01,134.8
251,1935-11-01,144.75
252,1935-12-01,141.7
253,1936-01-01,146.3
254,1936-02-01,152.0
255,1936-03-01,154.6
256,1936-04-01,152.85
257,1936-05-01,149.5
258,1936-06-01,155.0
259,1936-07-01,162.25
260,1936-08-01,164.95
261,1936-09-01,167.4
262,1936-10-01,172.95
263,1936-11-01,180.8
264,1936-12-01,179.05
265,1937-01-01,182.3
266,1937-02-01,188.4
267,1937-03-01,187.1
268,1937-04-01,177.65
269,1937-05-01,171.9
270,1937-06-01,170.3
271,1937-07-01,177.85
272,1937-08-01,182.95
273,1937-09-01,160.25
274,1937-10-01,139.9
275,1937-11-01,124.75
276,1937-12-01,124.35
277,1938-01-01,127.25
278,1938-02-01,125.45
279,1938-03-01,114.75
280,1938-04-01,111.0
281,1938-05-01,113.55
282,1938-06-01,122.8
283,1938-07-01,139.75
284,1938-08-01,140.95
285,1938-09-01,136.5
286,1938-10-01,148.65
287,1938-11-01,152.25
288,1938-12-01,151.1
289,1939-01-01,145.65
290,1939-02-01,144.85
291,1939-03-01,142.05
292,1939-04-01,127.1
293,1939-05-01,133.0
294,1939-06-01,135.1
295,1939-07-01,138.2
296,1939-08-01,137.8
297,1939-09-01,144.4
298,1939-10-01,152.55
299,1939-11-01,149.15
300,1939-12-01,148.35
301,1940-01-01,148.75
302,1940-02-01,146.95
303,1940-03-01,147.0
304,1940-04-01,149.05
305,1940-05-01,131.05
306,1940-06-01,117.85
307,1940-07-01,123.55
308,1940-08-01,125.35
309,1940-09-01,131.4
310,1940-10-01,132.75
311,1940-11-01,133.95
312,1940-12-01,130.4
313,1941-01-01,128.85
314,1941-02-01,121.25
315,1941-03-01,122.1
316,1941-04-01,120.1
317,1941-05-01,116.55
318,1941-06-01,120.1
319,1941-07-01,126.5
320,1941-08-01,126.55
321,1941-09-01,127.55
322,1941-10-01,122.35
323,1941-11-01,117.05
324,1941-12-01,111.5
325,1942-01-01,111.55
326,1942-02-01,107.95
327,1942-03-01,103.1
328,1942-04-01,97.7
329,1942-05-01,98.45
330,1942-06-01,103.8
331,1942-07-01,105.8
332,1942-08-01,106.2
333,1942-09-01,107.8
334,1942-10-01,112.5
335,1942-11-01,115.7
336,1942-12-01,117.15
337,1943-01-01,122.42
338,1943-02-01,127.59
339,1943-03-01,132.71
340,1943-04-01,134.06
341,1943-05-01,139.13
342,1943-06-01,141.08
343,1943-07-01,140.88
344,1943-08-01,136.22
345,1943-09-01,139.33
346,1943-10-01,138.36
347,1943-11-01,134.04
348,1943-12-01,133.46
349,1944-01-01,137.28
350,1944-02-01,135.84
351,1944-03-01,138.72
352,1944-04-01,137.06
353,1944-05-01,139.65
354,1944-06-01,145.12
355,1944-07-01,148.04
356,1944-08-01,146.93
357,1944-09-01,145.06
358,1944-10-01,147.38
359,1944-11-01,146.84
360,1944-12-01,149.92
361,1945-01-01,153.6
362,1945-02-01,157.1
363,1945-03-01,156.9
364,1945-04-01,160.22
365,1945-05-01,166.08
366,1945-06-01,166.74
367,1945-07-01,164.0
368,1945-08-01,167.92
369,1945-09-01,177.8
370,1945-10-01,185.06
371,1945-11-01,189.34
372,1945-12-01,192.44
373,1946-01-01,198.12
374,1946-02-01,196.5
375,1946-03-01,194.51
376,1946-04-01,203.75
377,1946-05-01,206.58
378,1946-06-01,206.0
379,1946-07-01,201.39
380,1946-08-01,196.86
381,1946-09-01,173.18
382,1946-10-01,169.53
383,1946-11-01,168.98
384,1946-12-01,172.91
385,1947-01-01,176.2
386,1947-02-01,180.86
387,1947-03-01,177.12
388,1947-04-01,172.07
389,1947-05-01,168.71
390,1947-06-01,172.72
391,1947-07-01,183.36
392,1947-08-01,180.69
393,1947-09-01,177.34
394,1947-10-01,181.7
395,1947-11-01,181.28
396,1947-12-01,178.45
397,1948-01-01,176.11
398,1948-02-01,170.28
399,1948-03-01,171.3
400,1948-04-01,180.55
401,1948-05-01,185.67
402,1948-06-01,190.53
403,1948-07-01,186.41
404,1948-08-01,181.44
405,1948-09-01,180.68
406,1948-10-01,185.03
407,1948-11-01,180.48
408,1948-12-01,175.57
409,1949-01-01,178.28
410,1949-02-01,175.74
411,1949-03-01,176.06
412,1949-04-01,175.2
413,1949-05-01,172.5
414,1949-06-01,164.88
415,1949-07-01,172.27
416,1949-08-01,179.43
417,1949-09-01,180.66
418,1949-10-01,186.17
419,1949-11-01,190.8
420,1949-12-01,196.62
421,1950-01-01,199.79
422,1950-02-01,203.46
423,1950-03-01,206.3
424,1950-04-01,212.67
425,1950-05-01,219.36
426,1950-06-01,221.02
427,1950-07-01,205.3
428,1950-08-01,216.6
429,1950-09-01,223.21
430,1950-10-01,229.32
431,1950-11-01,229.38
432,1950-12-01,229.26
433,1951-01-01,244.45
434,1951-02-01,253.32
435,1951-03-01,249.5
436,1951-04-01,253.36
437,1951-05-01,254.36
438,1951-06-01,249.32
439,1951-07-01,253.6
440,1951-08-01,264.92
441,1951-09-01,273.36
442,1951-10-01,269.73
443,1951-11-01,259.61
444,1951-12-01,266.09
445,1952-01-01,271.71
446,1952-02-01,265.19
447,1952-03-01,264.48
448,1952-04-01,262.55
449,1952-05-01,261.61
450,1952-06-01,268.39
451,1952-07-01,276.04
452,1952-08-01,276.7
453,1952-09-01,272.4
454,1952-10-01,267.77
455,1952-11-01,276.37
456,1952-12-01,285.95
457,1953-01-01,288.44
458,1953-02-01,283.94
459,1953-03-01,286.79
460,1953-04-01,275.28
461,1953-05-01,276.84
462,1953-06-01,266.88
463,1953-07-01,270.32
464,1953-08-01,272.21
465,1953-09-01,261.9
466,1953-10-01,270.73
467,1953-11-01,277.1
468,1953-12-01,281.15
469,1954-01-01,286.64
470,1954-02-01,292.13
471,1954-03-01,299.15
472,1954-04-01,310.92
473,1954-05-01,322.86
474,1954-06-01,327.91
475,1954-07-01,341.27
476,1954-08-01,346.06
477,1954-09-01,352.71
478,1954-10-01,358.29
479,1954-11-01,375.75
480,1954-12-01,393.84
481,1955-01-01,398.43
482,1955-02-01,410.25
483,1955-03-01,408.91
484,1955-04-01,422.99
485,1955-05-01,421.55
486,1955-06-01,440.79
487,1955-07-01,462.16
488,1955-08-01,457.29
489,1955-09-01,476.43
490,1955-10-01,452.65
491,1955-11-01,476.58
492,1955-12-01,484.58
493,1956-01-01,474.75
494,1956-02-01,475.52
495,1956-03-01,502.67
496,1956-04-01,511.04
497,1956-05-01,495.2
498,1956-06-01,485.33
499,1956-07-01,509.76
500,1956-08-01,511.69
501,1956-09-01,495.01
502,1956-10-01,483.8
503,1956-11-01,479.34
504,1956-12-01,492.01
505,1957-01-01,485.9
506,1957-02-01,466.84
507,1957-03-01,472.78
508,1957-04-01,485.42
509,1957-05-01,500.83
510,1957-06-01,505.27
511,1957-07-01,514.64
512,1957-08-01,487.97
513,1957-09-01,471.79
514,1957-10-01,443.38
515,1957-11-01,436.73
516,1957-12-01,436.94
517,1958-01-01,445.68
518,1958-02-01,444.16
519,1958-03-01,450.14
520,1958-04-01,446.9
521,1958-05-01,460.04
522,1958-06-01,471.97
523,1958-07-01,488.27
524,1958-08-01,507.55
525,1958-09-01,521.82
526,1958-10-01,539.85
527,1958-11-01,557.1
528,1958-12-01,566.43
529,1959-01-01,592.29
530,1959-02-01,590.72
531,1959-03-01,609.12
532,1959-04-01,616.99
533,1959-05-01,630.8
534,1959-06-01,631.51
535,1959-07-01,662.81
536,1959-08-01,660.58
537,1959-09-01,635.47
538,1959-10-01,637.34
539,1959-11-01,646.43
540,1959-12-01,671.35
541,1960-01-01,665.39
542,1960-02-01,624.88
543,1960-03-01,614.7
544,1960-04-01,619.98
545,1960-05-01,615.64
546,1960-06-01,644.38
547,1960-07-01,625.83
548,1960-08-01,624.47
549,1960-09-01,598.1
550,1960-10-01,582.45
551,1960-11-01,601.14
552,1960-12-01,609.54
553,1961-01-01,632.2
554,1961-02-01,650.01
555,1961-03-01,670.56
556,1961-04-01,684.9
557,1961-05-01,693.03
558,1961-06-01,691.44
559,1961-07-01,690.66
560,1961-08-01,718.64
561,1961-09-01,711.02
562,1961-10-01,703.01
563,1961-11-01,724.74
564,1961-12-01,728.44
565,1962-01-01,705.16
566,1962-02-01,711.95
567,1962-03-01,714.21
568,1962-04-01,690.28
569,1962-05-01,643.71
570,1962-06-01,572.64
571,1962-07-01,581.78
572,1962-08-01,602.51
573,1962-09-01,597.02
574,1962-10-01,580.65
575,1962-11-01,628.82
576,1962-12-01,648.38
577,1963-01-01,672.1
578,1963-02-01,679.75
579,1963-03-01,674.63
580,1963-04-01,707.12
581,1963-05-01,720.84
582,1963-06-01,719.14
583,1963-07-01,700.75
584,1963-08-01,714.15
585,1963-09-01,738.52
586,1963-10-01,747.52
587,1963-11-01,743.24
588,1963-12-01,759.94
589,1964-01-01,776.62
590,1964-02-01,793.03
591,1964-03-01,812.18
592,1964-04-01,820.94
593,1964-05-01,823.12
594,1964-06-01,817.63
595,1964-07-01,844.24
596,1964-08-01,835.3
597,1964-09-01,863.55
598,1964-10-01,875.26
599,1964-11-01,880.04
600,1964-12-01,866.73
601,1965-01-01,889.89
602,1965-02-01,894.41
603,1965-03-01,896.44
604,1965-04-01,907.71
605,1965-05-01,927.5
606,1965-06-01,878.06
607,1965-07-01,873.43
608,1965-08-01,887.7
609,1965-09-01,922.18
610,1965-10-01,944.77
611,1965-11-01,953.31
612,1965-12-01,955.19
613,1966-01-01,985.93
614,1966-02-01,977.15
615,1966-03-01,926.43
616,1966-04-01,943.7
617,1966-05-01,890.7
618,1966-06-01,888.73
619,1966-07-01,875.87
620,1966-08-01,817.55
621,1966-09-01,791.65
622,1966-10-01,778.1
623,1966-11-01,806.55
624,1966-12-01,800.86
625,1967-01-01,830.56
626,1967-02-01,851.12
627,1967-03-01,858.11
628,1967-04-01,868.66
629,1967-05-01,883.74
630,1967-06-01,872.66
631,1967-07-01,888.51
632,1967-08-01,912.46
633,1967-09-01,923.45
634,1967-10-01,907.54
635,1967-11-01,865.43
636,1967-12-01,887.2
637,1968-01-01,884.77
638,1968-02-01,847.2
639,1968-03-01,834.76
640,1968-04-01,893.37
641,1968-05-01,905.22
642,1968-06-01,906.82
643,1968-07-01,905.32
644,1968-08-01,883.72
645,1968-09-01,922.8
646,1968-10-01,955.47
647,1968-11-01,964.12
648,1968-12-01,965.39
