,Date,Extent
260,1981-06-04,13.002
261,1981-06-06,12.954
262,1981-06-08,12.863
263,1981-06-10,12.721
264,1981-06-12,12.652
265,1981-06-14,12.487
266,1981-06-16,12.465
267,1981-06-18,12.364
268,1981-06-20,12.216
269,1981-06-22,12.064
270,1981-06-24,12.003
271,1981-06-26,12.013
272,1981-06-28,11.796
273,1981-06-30,11.787
274,1981-07-02,11.428
275,1981-07-04,11.33
276,1981-07-06,11.181
277,1981-07-08,11.022
278,1981-07-10,10.894
279,1981-07-12,10.691
280,1981-07-14,10.643
281,1981-07-16,10.354
282,1981-07-18,10.127
283,1981-07-20,9.826
284,1981-07-22,9.788
285,1981-07-24,9.538
286,1981-07-26,9.22
287,1981-07-28,9.106
288,1981-07-30,8.917
289,1981-08-01,8.733
290,1981-08-03,8.587
291,1981-08-05,8.326
292,1981-08-07,8.176
293,1981-08-09,8.0
294,1981-08-11,7.917
295,1981-08-13,7.883
296,1981-08-15,7.804
297,1981-08-17,7.724
298,1981-08-19,7.667
299,1981-08-21,7.593
300,1981-08-23,7.53
301,1981-08-25,7.495
302,1981-08-27,7.408
303,1981-08-29,7.296
304,1981-08-31,7.37
305,1981-09-02,7.203
306,1981-09-04,7.162
307,1981-09-06,6.992
308,1981-09-08,7.046
309,1981-09-10,6.902
310,1981-09-12,6.904
311,1981-09-14,6.952
312,1981-09-16,6.951
313,1981-09-18,7.002
314,1981-09-20,7.053
315,1981-09-22,7.231
316,1981-09-24,7.261
317,1981-09-26,7.303
318,1981-09-28,7.489
319,1981-09-30,7.626
320,1981-10-02,7.987
321,1981-10-04,8.087
322,1981-10-06,8.151
323,1981-10-08,8.354
324,1981-10-10,8.416
325,1981-10-12,8.63
326,1981-10-14,8.904
327,1981-10-16,9.037
328,1981-10-18,9.062
329,1981-10-20,9.134
330,1981-10-22,9.096
331,1981-10-24,9.233
332,1981-10-26,9.425
333,1981-10-28,9.609
334,1981-10-30,9.719
335,1981-11-01,9.905
336,1981-11-03,9.929
337,1981-11-05,10.337
338,1981-11-07,10.518
339,1981-11-09,10.51
340,1981-11-11,10.631
341,1981-11-13,10.908
342,1981-11-15,10.965
343,1981-11-17,11.197
344,1981-11-19,11.177
345,1981-11-21,11.273
346,1981-11-23,11.417
347,1981-11-25,11.611
348,1981-11-27,11.675
349,1981-11-29,11.882
350,1981-12-01,11.99
351,1981-12-03,12.336
352,1981-12-05,12.507
353,1981-12-07,12.698
354,1981-12-09,12.816
355,1981-12-11,12.948
356,1981-12-13,13.217
357,1981-12-15,13.418
358,1981-12-17,13.635
359,1981-12-19,13.802
360,1981-12-21,13.893
361,1981-12-23,13.877
362,1981-12-25,14.016
363,1981-12-27,13.953
364,1981-12-29,14.128
365,1981-12-31,14.224
366,1982-01-02,14.479
367,1982-01-04,14.642
368,1982-01-06,14.88
369,1982-01-08,14.993
370,1982-01-10,15.052
371,1982-01-12,15.141
372,1982-01-14,15.138
373,1982-01-16,15.22
374,1982-01-18,15.227
375,1982-01-20,15.208
376,1982-01-22,15.283
377,1982-01-24,15.391
378,1982-01-26,15.547
379,1982-01-28,15.695
380,1982-01-30,15.755
381,1982-02-01,15.836
382,1982-02-03,15.841
383,1982-02-05,15.85
384,1982-02-07,15.797
385,1982-02-09,15.829
386,1982-02-11,15.748
387,1982-02-13,15.854
388,1982-02-15,15.857
389,1982-02-17,16.058
390,1982-02-19,16.087
391,1982-02-21,16.094
392,1982-02-23,16.143
393,1982-02-25,16.31
394,1982-02-27,16.325
395,1982-03-01,16.234
396,1982-03-03,16.293
397,1982-03-05,16.315
398,1982-03-07,16.309
399,1982-03-09,16.123
400,1982-03-11,16.099
401,1982-03-13,16.005
402,1982-03-15,15.955
403,1982-03-17,15.905
404,1982-03-19,15.938
405,1982-03-21,15.911
406,1982-03-23,15.898
407,1982-03-25,15.929
408,1982-03-27,15.875
409,1982-03-29,15.931
410,1982-03-31,15.982
411,1982-04-02,15.945
412,1982-04-04,15.943
413,1982-04-06,15.859
414,1982-04-08,15.581
415,1982-04-10,15.577
416,1982-04-12,15.491
417,1982-04-14,15.627
418,1982-04-16,15.528
419,1982-04-18,15.448
420,1982-04-20,15.387
421,1982-04-22,15.276
422,1982-04-24,15.135
423,1982-04-26,15.105
424,1982-04-28,15.091
425,1982-04-30,14.997
426,1982-05-02,14.786
427,1982-05-04,14.679
428,1982-05-06,14.511
429,1982-05-08,14.319
430,1982-05-10,14.222
431,1982-05-12,14.137
432,1982-05-14,14.083
433,1982-05-16,14.003
434,1982-05-18,13.853
435,1982-05-20,13.653
436,1982-05-22,13.576
437,1982-05-24,13.583
438,1982-05-26,13.543
439,1982-05-28,13.38
440,1982-05-30,13.27
441,1982-06-01,13.091
442,1982-06-03,12.99
443,1982-06-05,12.874
444,1982-06-07,12.834
445,1982-06-09,12.75
446,1982-06-11,12.709
447,1982-06-13,12.678
448,1982-06-15,12.652
449,1982-06-17,12.476
450,1982-06-19,12.317
451,1982-06-21,12.145
452,1982-06-23,12.079
453,1982-06-25,11.918
454,1982-06-27,11.868
455,1982-06-29,11.76
456,1982-07-01,11.425
457,1982-07-03,11.442
458,1982-07-05,11.344
459,1982-07-07,11.165
460,1982-07-09,11.043
461,1982-07-11,10.816
462,1982-07-13,10.664
463,1982-07-15,10.436
464,1982-07-17,10.264
465,1982-07-19,10.179
466,1982-07-21,10.022
467,1982-07-23,9.782
468,1982-07-25,9.638
469,1982-07-27,9.417
470,1982-07-29,9.22
471,1982-07-31,9.016
472,1982-08-02,8.939
473,1982-08-04,8.746
474,1982-08-06,8.672
475,1982-08-08,8.45
476,1982-08-10,8.437
477,1982-08-12,8.366
478,1982-08-14,8.152
479,1982-08-16,8.008
480,1982-08-18,8.027
481,1982-08-20,7.915
482,1982-08-22,7.79
483,1982-08-24,7.759
484,1982-08-26,7.7
485,1982-08-28,7.582
486,1982-08-30,7.55
487,1982-09-01,7.404
488,1982-09-03,7.248
489,1982-09-05,7.233
490,1982-09-07,7.182
491,1982-09-09,7.18
492,1982-09-11,7.173
493,1982-09-13,7.16
494,1982-09-15,7.196
495,1982-09-17,7.197
496,1982-09-19,7.224
497,1982-09-21,7.329
498,1982-09-23,7.422
499,1982-09-25,7.417
500,1982-09-27,7.495
501,1982-09-29,7.666
502,1982-10-01,7.768
503,1982-10-03,8.016
504,1982-10-05,8.184
505,1982-10-07,8.331
506,1982-10-09,8.875
507,1982-10-11,9.179
508,1982-10-13,9.429
509,1982-10-15,9.608
510,1982-10-17,9.797
511,1982-10-19,9.836
512,1982-10-21,9.847
513,1982-10-23,10.067
514,1982-10-25,10.198
515,1982-10-27,10.423
516,1982-10-29,10.564
517,1982-10-31,10.615
518,1982-11-02,10.817
519,1982-11-04,10.893
520,1982-11-06,11.131
521,1982-11-08,11.03
522,1982-11-10,11.203
523,1982-11-12,11.348
524,1982-11-14,11.573
525,1982-11-16,11.792
526,1982-11-18,11.774
527,1982-11-20,11.698
528,1982-11-22,11.854
529,1982-11-24,11.929
530,1982-11-26,12.192
531,1982-11-28,12.483
532,1982-11-30,12.695
533,1982-12-02,12.822
534,1982-12-04,12.866
535,1982-12-06,12.963
536,1982-12-08,13.223
537,1982-12-10,13.351
538,1982-12-12,13.503
539,1982-12-14,13.606
540,1982-12-16,13.84
541,1982-12-18,13.895
542,1982-12-20,14.016
543,1982-12-22,13.963
544,1982-12-24,14.093
545,1982-12-26,14.183
546,1982-12-28,14.144
547,1982-12-30,14.159
548,1983-01-01,14.253
549,1983-01-03,14.306
550,1983-01-05,14.494
551,1983-01-07,14.467
552,1983-01-09,14.615
553,1983-01-11,14.648
554,1983-01-13,14.622
555,1983-01-15,14.916
556,1983-01-17,15.014
557,1983-01-19,15.052
558,1983-01-21,15.314
559,1983-01-23,15.396
560,1983-01-25,15.347
561,1983-01-27,15.401
562,1983-01-29,15.554
563,1983-01-31,15.68
564,1983-02-02,15.737
565,1983-02-04,15.719
566,1983-02-06,15.695
567,1983-02-08,15.822
568,1983-02-10,15.791
569,1983-02-12,15.999
570,1983-02-14,16.056
571,1983-02-16,15.971
572,1983-02-18,16.056
573,1983-02-20,16.167
574,1983-02-22,16.238
575,1983-02-24,16.28
576,1983-02-26,16.352
577,1983-02-28,16.203
578,1983-03-02,16.049
579,1983-03-04,15.958
580,1983-03-06,15.971
581,1983-03-08,16.101
582,1983-03-10,16.172
583,1983-03-12,16.349
584,1983-03-14,16.412
585,1983-03-16,16.214
586,1983-03-18,16.069
587,1983-03-20,16.212
588,1983-03-22,16.057
589,1983-03-24,15.976
590,1983-03-26,15.964
591,1983-03-28,15.926
592,1983-03-30,15.849
593,1983-04-01,15.886
594,1983-04-03,15.914
595,1983-04-05,15.734
596,1983-04-07,15.706
597,1983-04-09,15.528
598,1983-04-11,15.574
599,1983-04-13,15.317
600,1983-04-15,15.145
601,1983-04-17,15.063
602,1983-04-19,14.839
603,1983-04-21,14.819
604,1983-04-23,14.695
605,1983-04-25,14.553
606,1983-04-27,14.442
607,1983-04-29,14.366
608,1983-05-01,14.045
609,1983-05-03,13.929
610,1983-05-05,13.935
611,1983-05-07,13.787
612,1983-05-09,13.703
613,1983-05-11,13.64
614,1983-05-13,13.587
615,1983-05-15,13.502
616,1983-05-17,13.433
617,1983-05-19,13.319
618,1983-05-21,13.313
619,1983-05-23,13.27
620,1983-05-25,13.209
621,1983-05-27,13.132
622,1983-05-29,13.052
623,1983-05-31,13.005
624,1983-06-02,12.837
625,1983-06-04,12.764
626,1983-06-06,12.69
627,1983-06-08,12.59
628,1983-06-10,12.54
629,1983-06-12,12.412
630,1983-06-14,12.311
631,1983-06-16,12.276
632,1983-06-18,12.146
633,1983-06-20,12.16
634,1983-06-22,12.111
635,1983-06-24,11.965
636,1983-06-26,11.989
637,1983-06-28,11.896
638,1983-06-30,11.748
639,1983-07-02,11.515
640,1983-07-04,11.398
641,1983-07-06,11.261
642,1983-07-08,11.233
643,1983-07-10,11.108
644,1983-07-12,11.088
645,1983-07-14,10.913
646,1983-07-16,10.767
647,1983-07-18,10.491
648,1983-07-20,10.214
649,1983-07-22,10.076
650,1983-07-24,9.911
651,1983-07-26,9.655
652,1983-07-28,9.56
653,1983-07-30,9.364
654,1983-08-01,9.224
655,1983-08-03,9.046
656,1983-08-05,8.935
657,1983-08-07,8.731
658,1983-08-09,8.638
659,1983-08-11,8.46
660,1983-08-13,8.32
661,1983-08-15,8.073
662,1983-08-17,7.948
663,1983-08-19,7.899
664,1983-08-21,7.903
665,1983-08-23,7.777
666,1983-08-25,7.639
667,1983-08-27,7.534
668,1983-08-29,7.445
669,1983-08-31,7.402
670,1983-09-02,7.321
671,1983-09-04,7.314
672,1983-09-06,7.243
673,1983-09-08,7.204
674,1983-09-10,7.238
675,1983-09-12,7.305
676,1983-09-14,7.246
677,1983-09-16,7.261
678,1983-09-18,7.322
679,1983-09-20,7.499
680,1983-09-22,7.412
681,1983-09-24,7.425
682,1983-09-26,7.519
683,1983-09-28,7.731
684,1983-09-30,7.879
685,1983-10-02,8.143
686,1983-10-04,8.38
687,1983-10-06,8.638
688,1983-10-08,8.774
689,1983-10-10,8.943
690,1983-10-12,9.123
691,1983-10-14,9.205
692,1983-10-16,9.453
693,1983-10-18,9.585
694,1983-10-20,9.673
695,1983-10-22,9.878
696,1983-10-24,10.085
697,1983-10-26,9.558
698,1983-10-28,10.259
699,1983-10-30,10.314
700,1983-11-01,10.549
701,1983-11-03,10.737
702,1983-11-05,10.883
703,1983-11-07,10.84
704,1983-11-09,10.956
705,1983-11-11,11.172
706,1983-11-13,11.322
707,1983-11-15,11.473
708,1983-11-17,11.635
709,1983-11-19,11.802
710,1983-11-21,11.9
711,1983-11-23,11.934
712,1983-11-25,12.167
713,1983-11-27,12.208
714,1983-11-29,12.337
715,1983-12-01,12.769
716,1983-12-03,12.664
717,1983-12-05,12.877
718,1983-12-07,13.042
719,1983-12-09,13.043
720,1983-12-11,13.192
721,1983-12-13,13.344
722,1983-12-15,13.366
723,1983-12-17,13.325
724,1983-12-19,13.322
725,1983-12-21,13.326
726,1983-12-23,13.539
727,1983-12-25,13.54
728,1983-12-27,13.664
729,1983-12-29,13.855
730,1983-12-31,13.907
731,1984-01-02,14.103
732,1984-01-04,14.237
733,1984-01-06,14.262
734,1984-01-08,14.303
735,1984-01-10,14.387
736,1984-01-12,14.37
737,1984-01-14,14.388
738,1984-01-16,14.411
739,1984-01-18,14.302
740,1984-01-20,14.505
741,1984-01-22,14.626
742,1984-01-24,14.703
743,1984-01-26,14.788
744,1984-01-28,14.821
745,1984-01-30,14.893
746,1984-02-01,15.026
747,1984-02-03,15.107
748,1984-02-05,15.107
749,1984-02-07,15.08
750,1984-02-09,14.988
751,1984-02-11,15.181
752,1984-02-13,15.178
753,1984-02-15,15.335
754,1984-02-17,15.427
755,1984-02-19,15.47
756,1984-02-21,15.456
757,1984-02-23,15.467
758,1984-02-25,15.534
759,1984-02-27,15.561
760,1984-02-29,15.567
761,1984-03-02,15.431
762,1984-03-04,15.483
763,1984-03-06,15.554
764,1984-03-08,15.57
765,1984-03-10,15.587
766,1984-03-12,15.58
767,1984-03-14,15.676
768,1984-03-16,15.764
769,1984-03-18,15.809
770,1984-03-20,15.78
771,1984-03-22,15.614
772,1984-03-24,15.479
773,1984-03-26,15.486
774,1984-03-28,15.504
775,1984-03-30,15.446
776,1984-04-01,15.389
777,1984-04-03,15.335
778,1984-04-05,15.268
779,1984-04-07,15.16
780,1984-04-09,15.321
781,1984-04-11,15.287
782,1984-04-13,15.107
783,1984-04-15,15.085
784,1984-04-17,15.037
785,1984-04-19,14.973
786,1984-04-21,14.897
787,1984-04-23,14.699
788,1984-04-25,14.678
789,1984-04-27,14.608
790,1984-04-29,14.373
791,1984-05-01,14.194
792,1984-05-03,14.009
793,1984-05-05,13.976
794,1984-05-07,13.907
795,1984-05-09,13.816
796,1984-05-11,13.724
797,1984-05-13,13.764
798,1984-05-15,13.621
799,1984-05-17,13.451
800,1984-05-19,13.487
801,1984-05-21,13.367
802,1984-05-23,13.401
803,1984-05-25,13.289
804,1984-05-27,13.192
805,1984-05-29,13.035
806,1984-05-31,12.994
807,1984-06-02,12.828
808,1984-06-04,12.644
809,1984-06-06,12.526
810,1984-06-08,12.439
811,1984-06-10,12.354
812,1984-06-12,12.294
813,1984-06-14,12.254
814,1984-06-16,12.192
815,1984-06-18,12.079
816,1984-06-20,12.018
817,1984-06-22,11.966
818,1984-06-24,11.877
819,1984-06-26,11.783
820,1984-06-28,11.582
821,1984-06-30,11.439
822,1984-07-02,11.202
823,1984-07-04,10.989
824,1984-07-06,10.807
825,1984-07-08,10.699
826,1984-07-10,10.477
827,1984-07-12,10.183
828,1984-07-14,10.117
829,1984-07-16,9.929
830,1984-07-18,9.711
831,1984-07-20,9.629
832,1984-07-22,9.472
833,1984-07-24,9.368
834,1984-07-26,9.298
835,1984-07-28,8.875
836,1984-07-30,8.907
837,1984-08-01,8.745
838,1984-08-03,8.496
839,1984-08-05,8.303
840,1984-08-07,8.189
841,1984-08-09,8.027
842,1984-08-11,8.002
843,1984-08-13,7.918
844,1984-08-15,7.816
845,1984-08-17,7.698
846,1984-08-19,7.548
847,1984-08-21,7.461
848,1984-08-23,7.401
849,1984-08-25,7.346
850,1984-08-27,7.272
851,1984-08-29,7.057
852,1984-08-31,7.058
853,1984-09-02,6.828
854,1984-09-04,6.697
855,1984-09-06,6.528
856,1984-09-08,6.509
857,1984-09-10,6.501
858,1984-09-12,6.422
859,1984-09-14,6.461
860,1984-09-16,6.396
861,1984-09-18,6.514
862,1984-09-20,6.728
863,1984-09-22,6.974
864,1984-09-24,7.178
865,1984-09-26,7.338
866,1984-09-28,7.455
867,1984-09-30,7.549
868,1984-10-02,7.745
869,1984-10-04,7.947
870,1984-10-06,8.057
871,1984-10-08,8.227
872,1984-10-10,8.188
873,1984-10-12,8.26
874,1984-10-14,8.334
875,1984-10-16,8.354
876,1984-10-18,8.513
877,1984-10-20,8.638
878,1984-10-22,8.933
879,1984-10-24,9.116
880,1984-10-26,9.266
881,1984-10-28,9.398
882,1984-10-30,9.433
883,1984-11-01,9.565
884,1984-11-03,9.819
885,1984-11-05,9.969
886,1984-11-07,10.081
887,1984-11-09,10.224
888,1984-11-11,10.558
889,1984-11-13,10.578
890,1984-11-15,10.795
891,1984-11-17,11.072
892,1984-11-19,11.219
893,1984-11-21,11.518
894,1984-11-23,11.641
895,1984-11-25,11.812
896,1984-11-27,11.903
897,1984-11-29,11.869
898,1984-12-01,11.968
899,1984-12-03,12.263
900,1984-12-05,12.397
901,1984-12-07,12.712
902,1984-12-09,12.738
903,1984-12-11,12.837
904,1984-12-13,13.018
905,1984-12-15,13.124
906,1984-12-17,13.025
907,1984-12-19,13.24
908,1984-12-21,13.202
909,1984-12-23,13.307
910,1984-12-25,13.323
911,1984-12-27,13.394
912,1984-12-29,13.494
913,1984-12-31,13.789
914,1985-01-02,14.045
915,1985-01-04,14.24
916,1985-01-06,14.406
917,1985-01-08,14.432
918,1985-01-10,14.455
919,1985-01-12,14.584
920,1985-01-14,14.568
921,1985-01-16,14.71
922,1985-01-18,14.88
923,1985-01-20,14.906
924,1985-01-22,14.945
925,1985-01-24,15.036
926,1985-01-26,15.186
927,1985-01-28,15.313
928,1985-01-30,15.167
929,1985-02-01,15.252
930,1985-02-03,15.298
931,1985-02-05,15.445
932,1985-02-07,15.441
933,1985-02-09,15.549
934,1985-02-11,15.447
935,1985-02-13,15.448
936,1985-02-15,15.554
937,1985-02-17,15.473
938,1985-02-19,15.368
939,1985-02-21,15.498
940,1985-02-23,15.447
941,1985-02-25,15.568
942,1985-02-27,15.732
943,1985-03-01,15.791
944,1985-03-03,15.698
945,1985-03-05,15.706
946,1985-03-07,15.681
947,1985-03-09,15.575
948,1985-03-11,15.614
949,1985-03-13,15.914
950,1985-03-15,16.094
951,1985-03-17,16.163
952,1985-03-19,16.059
953,1985-03-21,16.044
954,1985-03-23,16.063
955,1985-03-25,16.027
956,1985-03-27,16.019
957,1985-03-29,15.957
958,1985-03-31,15.77
959,1985-04-02,15.58
960,1985-04-04,15.576
961,1985-04-06,15.535
962,1985-04-08,15.459
963,1985-04-10,15.445
964,1985-04-12,15.524
965,1985-04-14,15.432
966,1985-04-16,15.511
967,1985-04-18,15.454
968,1985-04-20,15.252
969,1985-04-22,15.226
970,1985-04-24,15.225
971,1985-04-26,15.109
972,1985-04-28,15.065
973,1985-04-30,14.955
974,1985-05-02,14.714
975,1985-05-04,14.655
976,1985-05-06,14.56
977,1985-05-08,14.394
978,1985-05-10,14.32
979,1985-05-12,14.282
980,1985-05-14,14.172
981,1985-05-16,14.077
982,1985-05-18,13.914
983,1985-05-20,13.896
984,1985-05-22,13.868
985,1985-05-24,13.705
986,1985-05-26,13.625
987,1985-05-28,13.58
988,1985-05-30,13.339
989,1985-06-01,13.063
990,1985-06-03,12.935
991,1985-06-05,12.783
992,1985-06-07,12.731
993,1985-06-09,12.674
994,1985-06-11,12.475
995,1985-06-13,12.303
996,1985-06-15,12.217
997,1985-06-17,12.109
998,1985-06-19,11.88
999,1985-06-21,11.81
1000,1985-06-23,11.805
1001,1985-06-25,11.61
1002,1985-06-27,11.498
1003,1985-06-29,11.393
1004,1985-07-01,11.135
1005,1985-07-03,10.926
1006,1985-07-05,10.791
1007,1985-07-07,10.652
1008,1985-07-09,10.382
1009,1985-07-11,10.399
1010,1985-07-13,10.112
1011,1985-07-15,9.839
1012,1985-07-17,9.702
1013,1985-07-19,9.441
1014,1985-07-21,9.213
1015,1985-07-23,9.114
1016,1985-07-25,8.851
1017,1985-07-27,8.656
1018,1985-07-29,8.4
1019,1985-07-31,8.3
1020,1985-08-02,8.152
1021,1985-08-04,8.074
1022,1985-08-06,7.995
1023,1985-08-08,7.754
1024,1985-08-10,7.639
1025,1985-08-12,7.525
1026,1985-08-14,7.442
1027,1985-08-16,7.331
1028,1985-08-18,7.212
1029,1985-08-20,7.19
1030,1985-08-22,7.139
1031,1985-08-24,7.012
1032,1985-08-26,6.907
1033,1985-08-28,6.863
1034,1985-08-30,6.793
1035,1985-09-01,6.724
1036,1985-09-03,6.61
1037,1985-09-05,6.505
1038,1985-09-07,6.496
1039,1985-09-09,6.486
1040,1985-09-11,6.495
1041,1985-09-13,6.558
1042,1985-09-15,6.568
1043,1985-09-17,6.657
1044,1985-09-19,6.725
1045,1985-09-21,6.745
1046,1985-09-23,6.799
1047,1985-09-25,6.993
1048,1985-09-27,6.992
1049,1985-09-29,7.112
1050,1985-10-01,7.365
1051,1985-10-03,7.585
1052,1985-10-05,7.642
1053,1985-10-07,7.985
1054,1985-10-09,8.013
1055,1985-10-11,8.129
1056,1985-10-13,8.442
1057,1985-10-15,8.562
1058,1985-10-17,8.708
1059,1985-10-19,8.699
1060,1985-10-21,8.783
1061,1985-10-23,8.959
1062,1985-10-25,9.116
1063,1985-10-27,9.33
1064,1985-10-29,9.566
1065,1985-10-31,9.851
1066,1985-11-02,10.219
1067,1985-11-04,10.238
1068,1985-11-06,10.37
1069,1985-11-08,10.471
